repository,pr_number,pr_title,pr_url,pr_state,created_at,author,merged_at,closed_at,time_to_merge_hours,time_to_close_hours,test_files_count,test_files_with_keywords,total_files_changed,total_lines_added,total_lines_deleted,total_lines_changed,js_files_changed,test_files_changed,total_test_keyword_occurrences,total_async_keyword_occurrences,total_promise_occurrences,total_async_occurrences,total_await_occurrences,avg_test_keywords_per_file,avg_async_keywords_per_file,avg_promise_per_file,avg_async_per_file,avg_await_per_file,commits_count,labels_count,assignees_count,reviewers_count,has_matching_content,analysis_success,labels,assignees,reviewers
ForbesLindesay/atdatabases,279,Use server_version setting to resolve current PG version.,https://github.com/ForbesLindesay/atdatabases/pull/279,closed,2023-01-21T13:07:42Z,EgorKulbachka,2024-01-12T18:46:45Z,2024-01-12T18:46:45Z,8549.650833333333,8549.650833333333,1,1,2,12,14,26,2,1,0,22,2,6,14,0.0,22.0,2.0,6.0,14.0,1,0,0,0,True,True,,,
Microsoft/vscode,248527,[prompts]: fix window freeze issue when a prompt with empty header is executed,https://github.com/microsoft/vscode/pull/248527,closed,2025-05-09T16:06:23Z,legomushroom,2025-05-09T18:30:30Z,2025-05-09T18:30:30Z,2.4019444444444447,2.4019444444444447,2,2,4,70,4,74,4,2,0,59,1,24,34,0.0,29.5,0.5,12.0,17.0,2,0,1,1,True,True,,legomushroom,justschen
ReactiveX/RxJS,7005,fix(share): Prevent setup/reset race condition in share with refCount,https://github.com/ReactiveX/rxjs/pull/7005,closed,2022-06-29T09:07:10Z,henry-alakazhang,2022-07-08T15:48:12Z,2022-07-08T15:48:12Z,222.6838888888889,222.6838888888889,1,1,2,22,2,24,2,1,0,2,0,1,1,0.0,2.0,0.0,1.0,1.0,2,0,0,0,True,True,,,
actionhero/node-resque,318,Use `multi` transactions to increase safety with delayed jobs,https://github.com/actionhero/node-resque/pull/318,closed,2020-02-15T02:42:28Z,evantahler,2020-02-15T02:48:56Z,2020-02-15T02:48:56Z,0.10777777777777778,0.10777777777777778,1,1,4,25,22,47,3,1,0,63,3,26,34,0.0,63.0,3.0,26.0,34.0,1,0,0,0,True,True,,,
atom/atom,19525,Fix flaky test for `Project.onDidChangeFiles()`,https://github.com/atom/atom/pull/19525,closed,2019-06-13T16:54:56Z,jasonrudolph,2019-06-14T17:00:23Z,2019-06-14T17:00:24Z,24.090833333333332,24.09111111111111,1,1,3,21,24,45,1,1,0,11,7,1,3,0.0,11.0,7.0,1.0,3.0,8,0,2,2,True,True,,jasonrudolph;as-cii,nathansobo;rafeca
atom/atom,19523,Increase timeout for atom-application.test.js on CI,https://github.com/atom/atom/pull/19523,closed,2019-06-13T14:39:07Z,as-cii,2019-06-13T16:58:02Z,2019-06-13T16:58:03Z,2.3152777777777778,2.3155555555555556,1,1,1,4,0,4,1,1,0,392,28,115,249,0.0,392.0,28.0,115.0,249.0,1,0,0,1,True,True,,,rafeca
atom/atom,19242,Use async randomBytes API to speedup Windows startup,https://github.com/atom/atom/pull/19242,closed,2019-04-30T16:27:57Z,rafeca,2019-05-01T13:43:44Z,2019-05-01T13:43:44Z,21.263055555555557,21.263055555555557,1,1,2,44,22,66,2,1,0,391,28,114,249,0.0,391.0,28.0,114.0,249.0,2,0,0,1,True,True,,,jasonrudolph
atom/atom,19135,Add ability to retry flaky Jasmine tests,https://github.com/atom/atom/pull/19135,closed,2019-04-10T20:25:22Z,nathansobo,2019-04-18T23:32:10Z,2019-04-18T23:32:10Z,195.11333333333334,195.11333333333334,1,1,2,42,8,50,2,1,0,25,3,7,15,0.0,25.0,3.0,7.0,15.0,2,0,0,2,True,True,,,smashwilson;rafeca
atom/atom,19126,Wait until the editor is ready on application test,https://github.com/atom/atom/pull/19126,closed,2019-04-09T14:03:45Z,rafeca,2019-04-10T14:27:36Z,2019-04-10T14:27:36Z,24.3975,24.3975,1,1,1,2,0,2,1,1,0,233,16,39,178,0.0,233.0,16.0,39.0,178.0,1,0,0,0,True,True,,,
bbc/sqs-consumer,470,feat!: removing handler_processing debugger in favour of status,https://github.com/bbc/sqs-consumer/pull/470,closed,2024-03-11T19:44:22Z,nicholasgriffintn,2024-03-11T19:45:57Z,2024-03-11T19:45:57Z,0.02638888888888889,0.02638888888888889,1,1,3,53,48,101,3,1,0,154,20,71,63,0.0,154.0,20.0,71.0,63.0,1,1,0,0,True,True,BREAKING CHANGE,,
bee-queue/bee-queue,232,fix: prevent event delivery race condition,https://github.com/bee-queue/bee-queue/pull/232,closed,2020-04-16T23:53:32Z,skeggse,,2022-11-23T01:11:38Z,,22801.301666666666,3,3,9,484,221,705,9,3,0,525,64,167,294,0.0,175.0,21.333333333333332,55.666666666666664,98.0,8,1,1,1,True,True,bug,skeggse,hughsw
brianc/node-postgres,2969,Fix race condition in release event test for pool,https://github.com/brianc/node-postgres/pull/2969,closed,2023-05-01T14:02:41Z,brianc,2023-05-01T14:15:20Z,2023-05-01T14:15:20Z,0.21083333333333334,0.21083333333333334,1,1,1,8,6,14,1,1,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,True,True,,,
brianc/node-postgres,2367,Fix double-sync crash on postgres 9.x,https://github.com/brianc/node-postgres/pull/2367,closed,2020-10-07T19:55:02Z,brianc,2020-10-08T20:17:35Z,2020-10-08T20:17:35Z,24.375833333333333,24.375833333333333,3,1,4,63,21,84,4,3,0,16,0,4,12,0.0,5.333333333333333,0.0,1.3333333333333333,4.0,7,0,0,0,True,True,,,
broccolijs/broccoli,328,Test Watcher,https://github.com/broccolijs/broccoli/pull/328,closed,2017-11-22T22:50:10Z,stefanpenner,2017-11-24T17:06:32Z,2017-11-24T17:06:32Z,42.272777777777776,42.272777777777776,1,1,4,325,65,390,2,1,0,2,2,0,0,0.0,2.0,2.0,0.0,0.0,1,0,0,0,True,True,,,
codeceptjs/CodeceptJS,4230,"Draft: Healers introduced, AI refactored",https://github.com/codeceptjs/CodeceptJS/pull/4230,closed,2024-03-04T00:17:56Z,DavertMik,2024-03-31T20:00:14Z,2024-03-31T20:00:14Z,667.705,667.705,3,2,24,1058,313,1371,20,3,0,23,0,14,9,0.0,7.666666666666667,0.0,4.666666666666667,3.0,13,0,0,0,True,True,,,
fastify/fastify,5881,chore: fix flaky test,https://github.com/fastify/fastify/pull/5881,closed,2024-12-08T11:53:27Z,Eomm,2024-12-13T09:02:36Z,2024-12-13T09:02:36Z,117.1525,117.1525,4,2,7,39,54,93,4,4,0,68,19,32,17,0.0,17.0,4.75,8.0,4.25,9,2,0,0,True,True,test;github actions,,
fastify/fastify,5765,test: Fix flaky tests in versioned-routes.test.js,https://github.com/fastify/fastify/pull/5765,closed,2024-10-24T11:14:33Z,smartinio,2024-10-24T14:23:41Z,2024-10-24T14:23:41Z,3.152222222222222,3.152222222222222,1,1,1,24,24,48,1,1,0,3,0,2,1,0.0,3.0,0.0,2.0,1.0,2,0,0,0,True,True,,,
