Repository URL,Pull Request URL,PR Title,Total Interesting Keywords,"""Promise"" Occurrances","""Async"" Occurrances","""Await"" Occurrances",Files Changed,Lines Changed,PR Creation Date
https://api.github.com/repos/bosonprotocol/boson-protocol-contracts,https://github.com/bosonprotocol/boson-protocol-contracts/pull/425,Lock down creation of seller and dispute resolver account types,5191,6,1532,3653,26,1284,2022-10-05T23:27:55Z
https://api.github.com/repos/tshino/vscode-vz-like-keymap,https://github.com/tshino/vscode-vz-like-keymap/pull/70,Fix flaky tests (hopefully),2804,17,670,2117,2,51,2022-04-25T11:48:42Z
https://api.github.com/repos/parse-community/parse-server,https://github.com/parse-community/parse-server/pull/7262,Allow single server instance in test suite,2427,161,648,1618,30,1822,2021-03-11T17:29:08Z
https://api.github.com/repos/HHS/Head-Start-TTADP,https://github.com/HHS/Head-Start-TTADP/pull/2177,Attempt to deflakify a bunch of cleanup within the backend tests,2149,65,441,1643,30,1888,2024-05-30T19:38:29Z
https://api.github.com/repos/tshino/vscode-vz-like-keymap,https://github.com/tshino/vscode-vz-like-keymap/pull/141,Fix flaky tests,1906,0,435,1471,1,3,2023-04-08T16:45:20Z
https://api.github.com/repos/tshino/vscode-vz-like-keymap,https://github.com/tshino/vscode-vz-like-keymap/pull/83,May fix flaky test,1905,0,435,1470,1,1,2022-05-21T18:00:00Z
https://api.github.com/repos/parse-community/parse-server,https://github.com/parse-community/parse-server/pull/9634,fix: Parse Server doesn't shutdown gracefully,1813,90,424,1299,19,548,2025-03-11T15:47:09Z
https://api.github.com/repos/okta/okta-signin-widget,https://github.com/okta/okta-signin-widget/pull/3714,Update TestCafe to v3,1793,4,83,697,30,311,2024-09-11T17:36:50Z
https://api.github.com/repos/adobecom/mas,https://github.com/adobecom/mas/pull/181,[Nala] Various updates,1698,0,269,1429,12,605,2025-02-28T19:02:44Z
https://api.github.com/repos/vercel/next.js,https://github.com/vercel/next.js/pull/72439,(e2e) module-level `patchFileDelay` flag,1607,49,401,1157,16,177,2024-11-07T02:58:36Z
parcel-bundler/parcel,https://github.com/parcel-bundler/parcel/pull/9636,Suspend incomplete requests,1508,6,447,1055,18,94,2024-04-12T00:22:19Z
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/7333,Cleanup beforeunload handler after transaction is resolved,1429,0,187,1242,12,219,2019-10-31T05:41:17Z
https://api.github.com/repos/nasa/openmct,https://github.com/nasa/openmct/pull/6511,chore: bump Playwright to v1.32.3,1273,49,195,1029,30,102,2023-03-27T20:43:22Z
nasa/openmct,https://github.com/nasa/openmct/pull/6511,chore: bump Playwright to v1.32.3,1273,49,195,1029,30,102,2023-03-27T20:43:22Z
https://api.github.com/repos/parse-community/Parse-SDK-JS,https://github.com/parse-community/Parse-SDK-JS/pull/1292,Improve integration testing,1234,6,285,935,28,2417,2021-02-03T22:34:48Z
https://api.github.com/repos/MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/23108,fix: remove waitForElementNotPresent and improve assertElementNotPresent,1215,1,193,1021,30,286,2024-02-22T07:23:06Z
